DateKey,CalendarYear,CalendarHalfYearLabel,CalendarQuarterLabel,CalendarMonth,CalendarMonthLabel,CalendarWeekLabel,CalendarDayOfWeekLabel,IsWorkDay,Año,Trimestre,Mes,Día,SemanaAño,Dia Semana,Fin Semana,Mes Corto,Mes Txt,Dia Txt,Start of Week,End of Week,Mala Suerte
"2008-01-01 00:00:00,000",2008,"H1","Q1",200801,"January","Week 1","Tuesday","WorkDay",2008,"Trimestre 1",1,1,1,2,"Día Laboral","J","January","Tuesday","2007-12-30 00:00:00,000","2008-01-06 00:00:00,000","Día Normal"
"2008-01-02 00:00:00,000",2008,"H1","Q1",200801,"January","Week 1","Wednesday","WorkDay",2008,"Trimestre 1",1,2,1,3,"Día Laboral","J","January","Wednesday","2007-12-30 00:00:00,000","2008-01-06 00:00:00,000","Día Normal"
"2008-01-03 00:00:00,000",2008,"H1","Q1",200801,"January","Week 1","Thursday","WorkDay",2008,"Trimestre 1",1,3,1,4,"Día Laboral","J","January","Thursday","2007-12-30 00:00:00,000","2008-01-06 00:00:00,000","Día Normal"
"2008-01-04 00:00:00,000",2008,"H1","Q1",200801,"January","Week 1","Friday","WorkDay",2008,"Trimestre 1",1,4,1,5,"Día Laboral","J","January","Friday","2007-12-30 00:00:00,000","2008-01-06 00:00:00,000","Día Normal"
"2008-01-07 00:00:00,000",2008,"H1","Q1",200801,"January","Week 2","Monday","WorkDay",2008,"Trimestre 1",1,7,2,1,"Día Laboral","J","January","Monday","2008-01-06 00:00:00,000","2008-01-13 00:00:00,000","Día Normal"
"2008-01-08 00:00:00,000",2008,"H1","Q1",200801,"January","Week 2","Tuesday","WorkDay",2008,"Trimestre 1",1,8,2,2,"Día Laboral","J","January","Tuesday","2008-01-06 00:00:00,000","2008-01-13 00:00:00,000","Día Normal"
"2008-01-09 00:00:00,000",2008,"H1","Q1",200801,"January","Week 2","Wednesday","WorkDay",2008,"Trimestre 1",1,9,2,3,"Día Laboral","J","January","Wednesday","2008-01-06 00:00:00,000","2008-01-13 00:00:00,000","Día Normal"
"2008-01-10 00:00:00,000",2008,"H1","Q1",200801,"January","Week 2","Thursday","WorkDay",2008,"Trimestre 1",1,10,2,4,"Día Laboral","J","January","Thursday","2008-01-06 00:00:00,000","2008-01-13 00:00:00,000","Día Normal"
"2008-01-11 00:00:00,000",2008,"H1","Q1",200801,"January","Week 2","Friday","WorkDay",2008,"Trimestre 1",1,11,2,5,"Día Laboral","J","January","Friday","2008-01-06 00:00:00,000","2008-01-13 00:00:00,000","Día Normal"
"2008-01-14 00:00:00,000",2008,"H1","Q1",200801,"January","Week 3","Monday","WorkDay",2008,"Trimestre 1",1,14,3,1,"Día Laboral","J","January","Monday","2008-01-13 00:00:00,000","2008-01-20 00:00:00,000","Día Normal"
"2008-01-15 00:00:00,000",2008,"H1","Q1",200801,"January","Week 3","Tuesday","WorkDay",2008,"Trimestre 1",1,15,3,2,"Día Laboral","J","January","Tuesday","2008-01-13 00:00:00,000","2008-01-20 00:00:00,000","Día Normal"
"2008-01-16 00:00:00,000",2008,"H1","Q1",200801,"January","Week 3","Wednesday","WorkDay",2008,"Trimestre 1",1,16,3,3,"Día Laboral","J","January","Wednesday","2008-01-13 00:00:00,000","2008-01-20 00:00:00,000","Día Normal"
"2008-01-17 00:00:00,000",2008,"H1","Q1",200801,"January","Week 3","Thursday","WorkDay",2008,"Trimestre 1",1,17,3,4,"Día Laboral","J","January","Thursday","2008-01-13 00:00:00,000","2008-01-20 00:00:00,000","Día Normal"
"2008-01-18 00:00:00,000",2008,"H1","Q1",200801,"January","Week 3","Friday","WorkDay",2008,"Trimestre 1",1,18,3,5,"Día Laboral","J","January","Friday","2008-01-13 00:00:00,000","2008-01-20 00:00:00,000","Día Normal"
"2008-01-21 00:00:00,000",2008,"H1","Q1",200801,"January","Week 4","Monday","WorkDay",2008,"Trimestre 1",1,21,4,1,"Día Laboral","J","January","Monday","2008-01-20 00:00:00,000","2008-01-27 00:00:00,000","Día Normal"
"2008-01-22 00:00:00,000",2008,"H1","Q1",200801,"January","Week 4","Tuesday","WorkDay",2008,"Trimestre 1",1,22,4,2,"Día Laboral","J","January","Tuesday","2008-01-20 00:00:00,000","2008-01-27 00:00:00,000","Día Normal"
"2008-01-23 00:00:00,000",2008,"H1","Q1",200801,"January","Week 4","Wednesday","WorkDay",2008,"Trimestre 1",1,23,4,3,"Día Laboral","J","January","Wednesday","2008-01-20 00:00:00,000","2008-01-27 00:00:00,000","Día Normal"
"2008-01-24 00:00:00,000",2008,"H1","Q1",200801,"January","Week 4","Thursday","WorkDay",2008,"Trimestre 1",1,24,4,4,"Día Laboral","J","January","Thursday","2008-01-20 00:00:00,000","2008-01-27 00:00:00,000","Día Normal"
"2008-01-25 00:00:00,000",2008,"H1","Q1",200801,"January","Week 4","Friday","WorkDay",2008,"Trimestre 1",1,25,4,5,"Día Laboral","J","January","Friday","2008-01-20 00:00:00,000","2008-01-27 00:00:00,000","Día Normal"
"2008-01-28 00:00:00,000",2008,"H1","Q1",200801,"January","Week 5","Monday","WorkDay",2008,"Trimestre 1",1,28,5,1,"Día Laboral","J","January","Monday","2008-01-27 00:00:00,000","2008-02-03 00:00:00,000","Día Normal"
"2008-01-29 00:00:00,000",2008,"H1","Q1",200801,"January","Week 5","Tuesday","WorkDay",2008,"Trimestre 1",1,29,5,2,"Día Laboral","J","January","Tuesday","2008-01-27 00:00:00,000","2008-02-03 00:00:00,000","Día Normal"
"2008-01-30 00:00:00,000",2008,"H1","Q1",200801,"January","Week 5","Wednesday","WorkDay",2008,"Trimestre 1",1,30,5,3,"Día Laboral","J","January","Wednesday","2008-01-27 00:00:00,000","2008-02-03 00:00:00,000","Día Normal"
"2008-01-31 00:00:00,000",2008,"H1","Q1",200801,"January","Week 5","Thursday","WorkDay",2008,"Trimestre 1",1,31,5,4,"Día Laboral","J","January","Thursday","2008-01-27 00:00:00,000","2008-02-03 00:00:00,000","Día Normal"
"2008-02-01 00:00:00,000",2008,"H1","Q1",200802,"February","Week 5","Friday","WorkDay",2008,"Trimestre 1",2,1,5,5,"Día Laboral","F","February","Friday","2008-01-27 00:00:00,000","2008-02-03 00:00:00,000","Día Normal"
"2008-02-04 00:00:00,000",2008,"H1","Q1",200802,"February","Week 6","Monday","WorkDay",2008,"Trimestre 1",2,4,6,1,"Día Laboral","F","February","Monday","2008-02-03 00:00:00,000","2008-02-10 00:00:00,000","Día Normal"
"2008-02-05 00:00:00,000",2008,"H1","Q1",200802,"February","Week 6","Tuesday","WorkDay",2008,"Trimestre 1",2,5,6,2,"Día Laboral","F","February","Tuesday","2008-02-03 00:00:00,000","2008-02-10 00:00:00,000","Día Normal"
"2008-02-06 00:00:00,000",2008,"H1","Q1",200802,"February","Week 6","Wednesday","WorkDay",2008,"Trimestre 1",2,6,6,3,"Día Laboral","F","February","Wednesday","2008-02-03 00:00:00,000","2008-02-10 00:00:00,000","Día Normal"
"2008-02-07 00:00:00,000",2008,"H1","Q1",200802,"February","Week 6","Thursday","WorkDay",2008,"Trimestre 1",2,7,6,4,"Día Laboral","F","February","Thursday","2008-02-03 00:00:00,000","2008-02-10 00:00:00,000","Día Normal"
"2008-02-08 00:00:00,000",2008,"H1","Q1",200802,"February","Week 6","Friday","WorkDay",2008,"Trimestre 1",2,8,6,5,"Día Laboral","F","February","Friday","2008-02-03 00:00:00,000","2008-02-10 00:00:00,000","Día Normal"
